customer_id,customer_name,transaction_id,amount,transaction_date,card_used,vendor_name,category,status
14,"Pooja Shah",19,1400.00,"2025-06-25 11:45:00",4539876543210014,"Reliance Fresh",Grocery,success
14,"Pooja Shah",49,1900.00,"2025-07-04 10:10:00",4539876543210014,Decathlon,Sports,success
15,"Aman Verma",20,3200.00,"2025-06-25 13:00:00",4539876543210015,FirstCry,"Baby Products",reversed
15,"Aman Verma",58,60000.00,"2025-07-08 15:30:00",1234567890123455,Myntra,Fashion,success
15,"Aman Verma",59,60500.00,"2025-07-08 17:20:00",1234567890123455,Spencer’s,Grocery,success
16,"Neha Choudhury",21,7750.00,"2025-06-26 14:10:00",4539876543210016,"Vijay Sales",Electronics,success
16,"Neha Choudhury",60,60000.00,"2025-07-07 11:00:00",1234567890123456,Flipkart,Electronics,success
17,"Harshita Gupta",22,2100.00,"2025-06-26 18:30:00",4539876543210017,Lifestyle,Fashion,success
18,"Rohan Nair",23,8700.00,"2025-06-27 07:15:00",4539876543210018,Pantaloons,Fashion,failed
18,"Rohan Nair",62,105000.00,"2025-07-05 18:30:00",1234567890123458,"Big Bazaar",Grocery,success
19,"Simran Kaur",24,1350.00,"2025-06-27 19:45:00",4539876543210019,Hometown,Furniture,success
20,"Yash Agrawal",25,1799.00,"2025-06-28 10:20:00",4539876543210020,Levi’s,Apparel,success
20,"Yash Agrawal",64,65000.00,"2025-07-03 17:00:00",1234567890123460,Spencer’s,Grocery,success
21,"Divya Rao",26,3400.00,"2025-06-28 12:30:00",4539876543210021,H&M,Apparel,success
22,"Arjun Malik",27,650.00,"2025-06-28 17:50:00",4539876543210022,Biba,"Ethnic Wear",success
22,"Arjun Malik",52,60000.00,"2025-07-11 09:15:00",1234567890123452,"Big Bazaar",Grocery,success
22,"Arjun Malik",53,35000.00,"2025-07-11 11:45:00",1234567890123452,Myntra,Fashion,success
23,"Tanya Paul",28,9900.00,"2025-06-29 09:30:00",4539876543210023,"Star Bazaar",Grocery,reversed
24,"Siddharth Pillai",29,4400.00,"2025-06-29 13:45:00",4539876543210024,"Nature’s Basket",Grocery,success
25,"Nikita Deshmukh",30,1980.00,"2025-06-29 15:25:00",4539876543210025,"Indigo Airlines","Air Travel",success
